timestamp,count,uniques,day,mo,yr,collection_timestamp
2019-09-16T00:00:00Z,16,12,16,09,2019,2019-09-29 10:29:12.892671
2019-09-17T00:00:00Z,32,27,17,09,2019,2019-09-29 10:29:12.892671
2019-09-18T00:00:00Z,21,15,18,09,2019,2019-09-29 10:29:12.892671
2019-09-19T00:00:00Z,25,22,19,09,2019,2019-09-29 10:29:12.892671
2019-09-20T00:00:00Z,37,25,20,09,2019,2019-09-29 10:29:12.892671
2019-09-21T00:00:00Z,28,21,21,09,2019,2019-09-29 10:29:12.892671
2019-09-22T00:00:00Z,20,14,22,09,2019,2019-09-29 10:29:12.892671
2019-09-23T00:00:00Z,33,29,23,09,2019,2019-09-29 10:29:12.892671
2019-09-24T00:00:00Z,33,20,24,09,2019,2019-09-29 10:29:12.892671
2019-09-25T00:00:00Z,25,21,25,09,2019,2019-09-29 10:29:12.892671
2019-09-26T00:00:00Z,22,19,26,09,2019,2019-09-29 10:29:12.892671
2019-09-27T00:00:00Z,14,13,27,09,2019,2019-09-29 10:29:12.892671
2019-09-28T00:00:00Z,18,16,28,09,2019,2019-09-29 10:29:12.892671
2019-09-29T00:00:00Z,13,11,29,09,2019,2019-09-29 10:29:12.892671
